ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
040169000,306400,36586136,349,10 1/2 ST NW,,LOT 11 JEFFRIES LOTS,4660.92
040129000,375900,36586137,1309,JOHN ST,,LOT 3 & PT LOT 4,5009.4
040161000,259300,36586138,340,11TH ST NW,,LOT 20 JEFFRIES LOTS,4007.52
040170000,246300,36586139,345,10 1/2 ST NW,,LOT 10 JEFFRIES LOTS,4617.36
040131000,466400,36586140,1305,JOHN ST,,LOT 5,5488.56
040160000,301900,36586141,338,11TH ST NW,,LOT 21 JEFFRIES LOTS,4007.52
040210000,436700,36586142,353,10TH ST NW,,PT LOT 2 JEFFRIES LOTS,0
040171000,409800,36586143,343,10 1/2 ST NW,,LOT 9 JEFFRIES LOTS,4660.92
040159000,351200,36586144,336,11TH ST NW,,LOT 22 JEFFRIES LOTS,4007.52
040172000,156100,36586145,341,10 1/2 ST NW,,LOT 8 JEFFRIES LOTS,4530.24
040158000,240100,36586146,334,11TH ST NW,,LOT 23 JEFFRIES LOTS,4007.52
040173000,256300,36586147,339,10 1/2 ST NW,,LOT 7 JEFFRIES LOTS,4181.76
040157000,157400,36586148,332,11TH ST NW,,LOT 24 JEFFRIES LOTS,4007.52
040153000,0,36586149,0,11TH ST NW,,"LOTS 9,10 & 11",26528.04
040174000,164000,36586150,337,10 1/2 ST NW,,LOT 6 JEFFRIES LOTS,4094.64
040156000,415600,36586151,324,11TH ST NW,,LOT 25 JEFFRIES LOTS,4007.52
040175000,166100,36586152,331,10 1/2 ST NW,,LOT 5 JEFFRIES LOTS,4268.88
040176000,65900,36586153,327,10 1/2 ST NW,,LOT 4 JEFFRIES LOTS,4225.32
040245000,6212800,36586154,1114,JOHN ST,,LOT A,0
040177000,199900,36586155,325,10 1/2 ST NW,,LOT 3 JEFFRIES LOTS,3571.92
040154000,193600,36586156,308,11TH ST NW,,PT LOT 33 JEFFRIES LOTS,5967.72
040271100,421900,36586157,1119,PAGE ST,,LOT,3615.48
040178000,229000,36586158,323,10 1/2 ST NW,,LOT 2 JEFFRIES LOTS,3528.36
040291000,8391500,36586159,302-304,14TH ST NW,,"LOTS 2,3,5 1\2,PT 1,5&PARCELS",0
040179000,170200,36586160,319,10 1/2 ST NW,,PT LOT 33 JEFFRIES LOTS,7579.44
040180100,143700,36586161,306,11TH ST NW,,LOT B JEFFRIES LOTS,4443.12
040180000,262600,36586162,313-315,10 1/2 ST NW,,LOT C JEFFRIES LOTS,0
040181000,185800,36586163,304,11TH ST NW,,LOT A JEFFRIES LOTS,3876.84
040182000,159900,36586164,307,10 1/2 ST NW,,PT LOT 35 JEFFRIES LOTS,3179.88
040183000,128000,36586165,305,10 1/2 ST NW,,LOT JEFFRIES LOTS,3136.32
040245100,8422500,36586166,1207-11,WERTLAND ST,,PARCEL 245.1 & PARCEL A,0
040302000,18296000,36586167,218,14TH ST NW,,PARCELS 1&2,0
040314000,7365300,36586168,1021,WERTLAND ST,,LOT,0
040298000,564900,36586169,208,14TH ST NW,,LOT 11 MCKENNIE'S,6969.6
040303000,498600,36586170,1301,WERTLAND ST,,LOT A,0
040301000,870300,36586171,1311,WERTLAND ST,,PT LOT 13 MCKENNIE'S,2831.4
060001101,7947700,36586172,0,ARLINGTON BLVD,,LOT C-3 GEORGETOWN,0
060001900,8287000,36586173,2401,ARLINGTON BLVD,,PT LOT C-4,3615480
060001700,2110000,36586174,2400-02,ARLINGTON BLVD,,LOT C-1 GEORGETOWN,0
060001600,6307200,36586175,2102-06,ARLINGTON BLVD,,LOTS 2 & 3 GEORGETOWN,1306800
060001500,4086800,36586176,1982,ARLINGTON BLVD,,LOT 1 & PARCEL Y GEORGETOWN,522720
060003100,3800,36586177,0,FENDALL TER,,RESERVE STRIP BK 6 RUGBY,3049.2
060001400,1561200,36586178,1980,ARLINGTON BLVD,,LOT 2B GEORGETOWN,0
060001300,2205500,36586179,1936,ARLINGTON BLVD,,LOT 2A-1 GEORGETOWN,27181.44
060001200,2354000,36586180,1932,ARLINGTON BLVD,,LOT 2A-2 GEORGETOWN,27878.4
060002000,5640900,36586181,0,EMMET ST N,,4.456 ACRES MASSIE PROPERTY,190313.64
060001100,1705800,36586182,1928,ARLINGTON BLVD,,PARCEL X GEORGETOWN,14374.8
060001B00,3562900,36586183,1924,ARLINGTON BLVD,,LOT 1-B,38594.16
060001000,4270900,36586184,1900,ARLINGTON BLVD,,LOT 1A,43560
080001000,61215700,36586185,101,EMMET ST N,,LOT (128.82 ACRES),1473199.2
060003000,1455100,36586186,817,FENDALL TER,,"LOTS 10,11 & 12 BK 6 RUGBY",27573.48
060004000,804400,36586187,813,FENDALL TER,,LOT 9 & PT 8 BK 6 RUGBY,15376.68
060001C00,1536200,36586188,801,EMMET ST N,,LOT 1C,26440.92
060023000,1017900,36586189,811,FENDALL TER,,"LOTS 6,7 & PT 8 BK 6 RUGBY",25439.04
060005000,1388400,36586190,1872,WINSTON RD,,LOTS 14 & 15 BK 4 RUGBY,14984.64
060006000,1075500,36586191,1866,WINSTON RD,,LOT 16 & PT 17 BK 4 RUGBY,11282.04
060007000,716100,36586192,1864,WINSTON RD,,LOT 18 & PT 17 BK 4 RUGBY,11238.48
060022000,900500,36586193,810,FENDALL TER,,LOT A BK 4 RUGBY,10628.64
060008000,902500,36586194,1860,WINSTON RD,,LOT 19 & PT 20&21 BK 4 RUGBY,14461.92
060021000,806200,36586195,1865,FENDALL AVE,,LOT B BK 4 RUGBY,11848.32
060024000,1018700,36586196,803,FENDALL TER,,LOTS 2-3 & PT 1 BK 6 RUGBY,23391.72
060020000,701300,36586197,1863,FENDALL AVE,,LOT 4 & PT 5 BK 4 RUGBY,11238.48
060009000,515900,36586198,1856,WINSTON RD,,LOT A BK 4 RUGBY,7579.44
060019000,982200,36586199,1859,FENDALL AVE,,LOT 6 & PT 5 & 7 BK 4 RUGBY,12371.04
060010000,1526500,36586200,1852,WINSTON RD,,LOT B BK 4 RUGBY,12109.68
060042000,1117100,36586201,1868,EDGEWOOD LN,,LOT 1 & PT 1 BK 6 EDGEWOOD LA,45171.72
060025000,951700,36586202,1912,FENDALL AVE,,"LOTS 17,18,PARCEL X BK3 RUGBY",14810.4
060026000,1414600,36586203,1907,FENDALL AVE,,LOTS 15 & 16 BK 3 RUGBY,14984.64
060012000,723500,36586204,1844,WINSTON RD,,"LOTS 27,28 & PT 26 BK 4 RUGBY",18730.8
