X,Y,OBJECTID,TYPE,NOTES
-78.4814787848739,38.0309194859709,126,1 Staple,2 Bikes
-78.481377984615,38.0308968549935,127,1 Staple,2 Bikes
-78.4829644365529,38.031262409625,130,4 Staple,8 Bikes
-78.4785679518999,38.0299175289019,131,1 Staple,2 Bikes
-78.482247908302,38.0495286309496,132,,
-78.4756673106984,38.0248452178379,133,,
-78.4764050757891,38.0515706488091,134,,
-78.4968311234137,38.0264584848521,135,,
-78.5060327896732,38.0222809158436,136,,
-78.4752158506725,38.0522709595252,137,,
-78.4711084327481,38.0636443088679,138,,
-78.482640264045,38.0528382688561,139,,
-78.4777589810402,38.0303639759384,140,11 Staple,22
-78.5033160643398,38.0142518724158,141,,
-78.4868322231847,38.0167440937537,142,Ribbon,
-78.4781116472266,38.0151690219348,143,Ribbon,
-78.5003914845034,38.0287789214736,144,Ribbon,
-78.4911612882286,38.0400019060187,145,Art,
-78.4912213810783,38.0399603308011,146,Art,
-78.4904703142997,38.0399246331196,147,Ribbon,
-78.4819616794703,38.0327208077792,148,Art in Place,4 Bikes
-78.4545395562623,38.024040563792,149,,
-78.4802411043191,38.0315505138336,150,Wave Rack,7 Bikes
-78.4822693319892,38.0308531441168,551,2 Staple,4 Bikes
-78.4826853459303,38.0300436485125,552,Bike Corral,10 Bikes
-78.4794200294516,38.0298144439789,553,Bike Corral,8 Bikes
-78.4752244844489,38.0246099004976,554,U,2
-78.4754602445458,38.0248685122982,556,U,3
-78.4997526827737,38.0342114995744,557,,
-78.5007901208617,38.0346557690886,558,,
-78.4774541321233,38.0296188844912,559,2 Staple,4 Bikes
-78.4776114295041,38.0296774716955,560,2 Staple,4 Bikes
-78.4779014769242,38.0303646456538,561,2 Staple,4 Bikes
-78.4778282041292,38.0312194158036,562,Bike Corral,6 Bikes
-78.4798613630449,38.0305506241755,563,8 Staples,16 Bikes
-78.4815137694916,38.0287150900723,564,2 Staple,4 Bikes
-78.4768562904625,38.0271513947388,565,Bike Corral,8 Bikes
-78.4780131152649,38.0266977938533,566,Bike Corral,8 Bikes
-78.4828287084575,38.0247553473932,567,2 Staple,4 Bikes
-78.4836616946899,38.0238624645515,568,3 Staple,4 Bikes
-78.4856193796079,38.0303192598657,569,1 Bollard,2 Bikes
-78.4900055722517,38.0315713687237,570,1 Bollard,2 Bikes
-78.4979385743825,38.0334089060249,571,1 Bollard,2 Bikes
-78.4877928713911,38.0375366736125,572,2 Staple,2 Bikes
